repoName,title,url,lockReason,labels
aio-libs/aiomysql,Reading date '0000-00-00' from db does not result in python datetime.date objet but is converted to string,https://github.com/aio-libs/aiomysql/issues/607,,['bug']
O365/python-o365,Time Zone Problem,https://github.com/O365/python-o365/issues/368,,['bug']
weewx/weewx,`wee_import` incorrectly assumes numeric data mapped to the field `dateTime` must be a unix epoch timestamp,https://github.com/weewx/weewx/issues/856,,"['bug', 'stale']"
pimutils/todoman,Datetime difference failure with `list`,https://github.com/pimutils/todoman/issues/370,,['bug']
pimutils/todoman,"Test fails, if TZ=UTC is not set",https://github.com/pimutils/todoman/issues/320,,['bug']
planetlabs/planet-client-python,"""Not a date-time"" error on search when using datetimes with timezones ",https://github.com/planetlabs/planet-client-python/issues/904,,['bug']
praekeltfoundation/junebug,Use ISO datetimes in logs.,https://github.com/praekeltfoundation/junebug/issues/102,,[]
lionheart/openradar-mirror,29788075: Calendar.nextDate does not respect provided time zone,https://github.com/lionheart/openradar-mirror/issues/16600,,"['reproducible:always', 'status:open', 'classification:other bug']"
lionheart/openradar-mirror,30456155: Impossible to type St. Louis to choose a time zone.,https://github.com/lionheart/openradar-mirror/issues/16882,,"['reproducible:always', 'status:open', 'classification:serious bug']"
lionheart/openradar-mirror,19437207: Apple Store App: Time zone dropped when adding Genius Bar appointment to calendar,https://github.com/lionheart/openradar-mirror/issues/2322,,"['reproducible:always', 'status:open', 'classification:serious bug']"
lionheart/openradar-mirror,19437207: Apple Store App: Time zone dropped when adding Genius Bar appointment to calendar,https://github.com/lionheart/openradar-mirror/issues/11221,,"['reproducible:always', 'status:open', 'classification:serious bug']"
lionheart/openradar-mirror,25133123: Time is automatically adjusted in non-DST countries,https://github.com/lionheart/openradar-mirror/issues/15161,,"['reproducible:always', 'status:open', 'classification:serious bug']"
lionheart/openradar-mirror,19274432: EKEventStore: all day events are created for the wrong day after changing the time zone,https://github.com/lionheart/openradar-mirror/issues/2456,,"['reproducible:always', 'status:open', 'classification:serious bug']"
lionheart/openradar-mirror,19274432: EKEventStore: all day events are created for the wrong day after changing the time zone,https://github.com/lionheart/openradar-mirror/issues/11348,,"['reproducible:always', 'status:open', 'classification:serious bug']"
lionheart/openradar-mirror,34594717: class/static methods of NSTimeZone/TimeZone still return system time zone after changing NSTimeZone.default,https://github.com/lionheart/openradar-mirror/issues/18447,,"['reproducible:always', 'classification:serious bug', 'status:duplicate of 34507729']"
lionheart/openradar-mirror,39027154: iOS Simulator showing UTC time only,https://github.com/lionheart/openradar-mirror/issues/19552,,"['classification:serious bug', 'reproducible:sometimes', 'status:closed - duplicate of 32944081']"
lionheart/openradar-mirror,13110886: iPhoto: Setting photo date via Applescript off by an hour on DST switch days,https://github.com/lionheart/openradar-mirror/issues/5331,,"['reproducible:always', 'status:open', 'classification:serious bug']"
lionheart/openradar-mirror,13110886: iPhoto: Setting photo date via Applescript off by an hour on DST switch days,https://github.com/lionheart/openradar-mirror/issues/14116,,"['reproducible:always', 'status:open', 'classification:serious bug']"
graphql-python/graphene,Failed to print schema with InputObjectType with DateTime field with default_value,https://github.com/graphql-python/graphene/issues/1293,,['🐛 bug']
ladybug-tools/ladybug,Add a method to HourlyContinuousCollection set data in EPW datetime range,https://github.com/ladybug-tools/ladybug/issues/490,,['enhancement']
agronholm/apscheduler,DST transitions cause APScheduler to incorrectly calculate next trigger times,https://github.com/agronholm/apscheduler/issues/529,,['bug']
owocki/pytrader,All timezones in UTC,https://github.com/owocki/pytrader/issues/9,,['bug']
holoviz/geoviews,Geoviews does not support NaT with time zone aware datetimes,https://github.com/holoviz/geoviews/issues/617,,['type: bug']
decalage2/olefile,Overflow exception when converting from FILETIME to DateTime(Python),https://github.com/decalage2/olefile/issues/62,,"['bug', 'major']"
sdispater/pendulum,DateTime().set(tz=...) tz keyword return wrong value,https://github.com/sdispater/pendulum/issues/407,,[]
sdispater/pendulum,Cannot pickle TZFixedOffset (and therefore datetimes with fixed offsets using C extensions),https://github.com/sdispater/pendulum/issues/305,,[]
sdispater/pendulum,[DOC] trick for unpickle pendulum v2 DateTime from v3; fix ModuleNotFoundError: No module named 'pendulum.tz.zoneinfo',https://github.com/sdispater/pendulum/issues/723,,[]
snowflakedb/snowflake-connector-python,SNOW-1444940: Write to pandas with datetime with timezone has no timezone in the resulting dataframe,https://github.com/snowflakedb/snowflake-connector-python/issues/1952,,"['bug', 'status-triage_done']"
snowflakedb/snowflake-sqlalchemy,SNOW-219884: Pandas datetime with timezone converts to `timestamp_ntz` in snowflake,https://github.com/snowflakedb/snowflake-sqlalchemy/issues/199,,"['bug', 'status-triage_done']"
AppDaemon/appdaemon,Getting 'Object of type datetime is not JSON serializable' error on 4.4.2,https://github.com/AppDaemon/appdaemon/issues/1757,,['bug']
graphql-python/graphene-django,"Cannot Serialize the datetime ",https://github.com/graphql-python/graphene-django/issues/1075,,['🐛bug']
Parsl/parsl,monitoring timestamps should be in UTC,https://github.com/Parsl/parsl/issues/2194,,"['bug', 'monitoring']"
chovanecm/sacredboard,Sacredboard shows UTC times instead of local times,https://github.com/chovanecm/sacredboard/issues/27,,['bug']
betcode-org/flumine,datetime patching bug,https://github.com/betcode-org/flumine/issues/584,,['bug']
da4089/simplefix,Python 3.12: datetime changes,https://github.com/da4089/simplefix/issues/59,,[]
Netflix-Skunkworks/stethoscope,Replace code that assumes US/Pacific time zone,https://github.com/Netflix-Skunkworks/stethoscope/issues/74,,"['bug', 'help wanted', 'difficulty: newcomer']"
glutanimate/review-heatmap,Review Heatmap adding today's reviews to yesterday after DST time change,https://github.com/glutanimate/review-heatmap/issues/99,,['bug']
snipsco/snips-nlu,Number not identified as datetime,https://github.com/snipsco/snips-nlu/issues/852,,['bug']
snipsco/snips-nlu,Datetime does not recognize 24h format,https://github.com/snipsco/snips-nlu/issues/874,,['bug']
snipsco/snips-nlu,Snips-nlu country and datetime not picking up,https://github.com/snipsco/snips-nlu/issues/860,,['bug']
snipsco/snips-nlu,Very slow runtimes when datetime is in a certain format,https://github.com/snipsco/snips-nlu/issues/888,,['bug']
lbl-srg/MPCPy,DST in exodata from csv,https://github.com/lbl-srg/MPCPy/issues/48,,['bug']
pydantic/pydantic,json dumped datetime behaviour change,https://github.com/pydantic/pydantic/issues/7035,,"['unconfirmed', 'bug V2']"
pydantic/pydantic,`GenerateSchema.match_type` does not work for union types or `datetime` types,https://github.com/pydantic/pydantic/issues/8783,,"['bug V2', 'pending']"
pydantic/pydantic,Behaviour change in datetime parsing for timestamps exactly at midnight,https://github.com/pydantic/pydantic/issues/7039,,['bug V2']
mymarilyn/clickhouse-driver,DateTime('some timezone') type column can't convert to datetime correctly in query_dataframe method,https://github.com/mymarilyn/clickhouse-driver/issues/257,,['bug']
NeurodataWithoutBorders/pynwb,"ObjectMapper datetime override fails ",https://github.com/NeurodataWithoutBorders/pynwb/issues/1333,,['category: bug']
SatAgro/suntime,Local Sunset time wrong when UTC sunset is in following day,https://github.com/SatAgro/suntime/issues/12,,[]
babybuddy/babybuddy,Daylight Saving time change breaks daily feeding sum,https://github.com/babybuddy/babybuddy/issues/612,,['bug']
zewelor/bt-mqtt-gateway,wrong time on eq3 thermostat (wrong time zone?),https://github.com/zewelor/bt-mqtt-gateway/issues/239,,[]
rucio/rucio,sorting of column of type datetime in datatable broken,https://github.com/rucio/rucio/issues/1771,,"['bug', 'patch', 'WebUI']"
proplot-dev/proplot,Major ticks location is wrong for Datetime axes,https://github.com/proplot-dev/proplot/issues/340,,['enhancement']
python-discord/bot,TypeError: can't subtract offset-naive and offset-aware datetimes,https://github.com/python-discord/bot/issues/2003,,"['t: bug', 'p: 2 - normal']"
holoviz/hvplot,Make it very clear that `hist` only support numerical or datetime fields,https://github.com/holoviz/hvplot/issues/906,,['type: bug']
dagster-io/dagster,"Problem finding datetime_ambiguous on EMR ",https://github.com/dagster-io/dagster/issues/22586,,['type: bug']
dagster-io/dagster,PyYAML parser parses date-like strings as datetime objects,https://github.com/dagster-io/dagster/issues/6465,,['type: bug']
dmarx/psaw,Make sure `created_utc` is forced into the fields list even if not explicitly provided with the `fields` parameter,https://github.com/dmarx/psaw/issues/54,,['bug']
xcube-dev/xcube,"Avoid numpy ""parsing timezone aware datetimes is deprecated"" warning in tile server",https://github.com/xcube-dev/xcube/issues/807,,['bug']
sdv-dev/SDV,PAR Diagnostic is not 1.0 for datetime context columns,https://github.com/sdv-dev/SDV/issues/2018,,"['bug', 'data:sequential']"
sdv-dev/SDV,In `PARSynthesizer` I cannot pass in datetime context (`InvalidDataError` during fitting),https://github.com/sdv-dev/SDV/issues/1485,,"['bug', 'data:sequential', 'feature:sampling']"
sdv-dev/SDV,Datetime column detected as unknown when using unusual format,https://github.com/sdv-dev/SDV/issues/1587,,['bug']
sdv-dev/SDV,PAR model cannot fit if sequence index is type `date` instead of `datetime`,https://github.com/sdv-dev/SDV/issues/465,,"['bug', 'data:sequential', 'feature:data-connectors']"
PrefectHQ/prefect,Date Picker Issue in UI When Using datetime.now() Without Timezone,https://github.com/PrefectHQ/prefect/issues/14002,,"['bug', 'from:sales']"
PrefectHQ/prefect,UTC vs Etc/UTC in deployment schedules,https://github.com/PrefectHQ/prefect/issues/12031,,"['bug', 'ui']"
PrefectHQ/prefect,Flow runs duplicated when DST ends (v2),https://github.com/PrefectHQ/prefect/issues/7381,,"['bug', 'status:accepted']"
Ouranosinc/xclim,Grouper limited to datetime properties and coordinates,https://github.com/Ouranosinc/xclim/issues/1736,,"['bug', 'enhancement', 'help wanted', 'sdba']"
holoviz/panel,DateRangeSlider returns datetimes once used,https://github.com/holoviz/panel/issues/2337,,['type: bug']
holoviz/panel,TypeError when patching on Datetime column and the patch value is of Datetime data type.,https://github.com/holoviz/panel/issues/4144,,"['type: bug', 'component: tabulator']"
holoviz/panel,Add support for client-side `header_filters` on datetime columns,https://github.com/holoviz/panel/issues/3655,,"['type: bug', 'component: tabulator']"
holoviz/panel,Patching a datetime value in Tabulator raises a TypeError,https://github.com/holoviz/panel/issues/5287,,"['type: bug', 'component: tabulator']"
holoviz/panel,DataFrame & Tabulator display timezone aware pd.Series in UTC,https://github.com/holoviz/panel/issues/3012,,"['type: bug', 'component: tabulator']"
holoviz/panel,panel convert with datetime fails: Can't find a pure Python 3 wheel for 'zope-interface'.,https://github.com/holoviz/panel/issues/5765,,['type: bug']
DOI-USGS/dataretrieval-python,Allow user to work in timezones besides UTC,https://github.com/DOI-USGS/dataretrieval-python/issues/3,,['bug']
unionai-oss/pandera,infer_schema - TypeError: '<=' not supported between instances of 'float' and 'datetime.datetime',https://github.com/unionai-oss/pandera/issues/1331,,['bug']
unionai-oss/pandera,Multi index dataframes with datetime level cannot drop invalid rows,https://github.com/unionai-oss/pandera/issues/1469,,['bug']
unionai-oss/pandera,Pandera's handling of datetime coersion is inconsistent between series and index,https://github.com/unionai-oss/pandera/issues/1246,,['bug']
unionai-oss/pandera,Deprecated call to `astype` in schema.example() for timezone-aware datetime conversions,https://github.com/unionai-oss/pandera/issues/1038,,['bug']
unionai-oss/pandera,An element_wise Check on a datetime column of an empty DataFrame fails since 0.14,https://github.com/unionai-oss/pandera/issues/1404,,['bug']
