Owner,Project,Title,Stars,TF-IDFs,Size,Datetime,Arrow,Pendulum,Description,Category 1,Category 2,Affected Computation 1,Affected Computation 2,Affected Computation 3,Obscurity,Impact/Severity,# LOC,Logic Needed,Comments,BPST1,BPST2,BPST3
vacanza,python-holidays,US Holidays Error: dictionary changed during iteration when passing years to holidays.US constructor,1375.0,0.7988695388,18315.0,1.0,0.0,0.0,,Date,,Replacing/Rounding Datetime Components,,,2.0,2.0,4.0,2.0,,Unintuitive Arithmetic,,
googleapis,python-storage,generate_signed_post_policy_v4() improperly handles expiration timestamps with tzinfo=None,420.0,0.7762413996,1158.0,1.0,0.0,0.0,,Timezone,,Datetime Construction,,,2.0,2.0,1.0,1.0,,Using Naïve Datetime Incorrectly,,
apache,airflow,DateTimeSensorAsync breaks if target_time is timezone-aware,35031.0,0.7755959493,2962.0,1.0,0.0,1.0,,Timezone,,Timezone Conversions,Datetime Construction,,1.0,3.0,1.0,1.0,,Adding Support for New Features,Using Naïve Datetime Incorrectly,
thombashi,DateTimeRange,"Substraction from `end_datetime` with negative `relativedelta(days=-3, weeks=-2, ... )` ?",101.0,0.7752957547,1001.0,1.0,0.0,0.0,,Date,,Datetime Arithmetic,,,1.0,2.0,2.0,2.0,,Unintuitive Arithmetic,,
danielgtaylor,python-betterproto,Inconsistancy between Timestamp field serailized via protobuf and json,1423.0,0.7374314984,3226.0,1.0,0.0,0.0,,Timezone,,Timezone Conversions,String Parsing/Formatting (data),,1.0,2.0,1.0,1.0,basically exact same as 38,Dropping Timezones,Adding Support for New Features,
richardpenman,whois,Expiration date for .com.ua zone is a string instead of datetime,340.0,0.7309318669,1091.0,1.0,0.0,0.0,,Timezone,String Representation,String Parsing/Formatting (data),Datetime Construction,,2.0,2.0,1.0,1.0,,Compatibility Issues,,
sdispater,pendulum,Increase DateTime by 1 day across daylight saving change point fails,6109.0,0.7257255471,1714.0,1.0,0.0,1.0,,Duration,DST,Datetime Arithmetic,,,2.0,2.0,2.0,1.0,,Crossing DST boundaries,Unintuitive Arithmetic,
frictionlessdata,frictionless-py,Exception on pandas parser when using a datetime column containing timezone information as index,683.0,0.7248597494,1607.0,1.0,0.0,0.0,,Timezone,,Timezone Conversions,Library Conversions,Timestamp/Hash Construction,1.0,2.0,2.0,1.0,basically exact same as 38,Dropping Timezones,Adding Support for New Features,
Election-Tech-Initiative,electionguard-python,🐛 Datetime tick generation is inconsistent,157.0,0.7242460704,1334.0,1.0,0.0,0.0,,Timestamps,Timezone,Timestamp/Hash Construction,Datetime Construction,,1.0,2.0,2.0,2.0,,Using Naïve Datetime Incorrectly,Precision of Representation,
fsspec,filesystem_spec,datetime.utcnow() is deprecated,934.0,0.7227329485,1304.0,1.0,0.0,0.0,,Deprecated,,Datetime Construction,,,1.0,1.0,2.0,1.0,,Outdated/Deprecated APIs,,
scrapinghub,dateparser,Pickling DateTime Objects with Timezones,2480.0,0.7204216868,1648.0,1.0,0.0,0.0,,Timezone,String Representation,String Parsing/Formatting (data),Datetime Construction,,1.0,2.0,1.0,2.0,,Dropping Timezones,,
robotframework,robotframework,DateTime: `Get Current Date` with epoch format and timezone UTC return wrong value,9279.0,0.7174705468,1508.0,1.0,0.0,0.0,,Deprecated,,Datetime Construction,Timezone Conversions,Library Conversions,1.0,2.0,2.0,2.0,,Outdated/Deprecated APIs,,
requests-cache,aiohttp-client-cache,`datetime.utcnow` is deprecated,112.0,0.7145898302,1218.0,1.0,0.0,0.0,,Deprecated,,Delta Comparison,,,1.0,1.0,2.0,1.0,,Outdated/Deprecated APIs,,
kayak,pypika,Interval query trims right zeros for integer values,2407.0,0.713719698,1022.0,1.0,0.0,0.0,,String Representation,,String Parsing/Formatting (data),Delta Construction,,1.0,2.0,2.0,1.0,,Precision of Representation,Typo,
dateutil,dateutil,Error when creating datetime.time with dateutil.tz.tzwinlocal,2266.0,0.7083106481,1795.0,1.0,0.0,0.0,,Timezone,,Datetime Construction,,,2.0,2.0,2.0,1.0,,Adding Support for New Libraries,,
